Month,Borough,Major Category,Minor Category,Count
201701,Brent,Sexual Offences,Other Sexual,28
201701,Brent,Sexual Offences,Rape,18
201701,Brent,Theft & Handling,Handling Stolen Goods,1
201701,Brent,Theft & Handling,Motor Vehicle Interference & Tampering,33
201701,Brent,Theft & Handling,Other Theft,260
201701,Brent,Theft & Handling,Theft From Motor Vehicle,172
201701,Brent,Theft & Handling,Theft From Shops,117
201701,Brent,Theft & Handling,Theft Person,48
201701,Brent,Theft & Handling,Theft/Taking Of Motor Vehicle,85
201701,Brent,Theft & Handling,Theft/Taking Of Pedal Cycle,30
201701,Brent,Violence Against The Person,Assault With Injury,146
201701,Brent,Violence Against The Person,Common Assault,255
201701,Brent,Violence Against The Person,Harassment,204
201701,Brent,Violence Against The Person,Murder,2
201701,Brent,Violence Against The Person,Offensive Weapon,16
201701,Brent,Violence Against The Person,Other Violence,35
201701,Brent,Violence Against The Person,Wounding/GBH,69
201701,Bromley,Burglary,Burglary In A Dwelling,164
201701,Bromley,Burglary,Burglary In Other Buildings,65
201701,Bromley,Criminal Damage,Criminal Damage To Dwelling,40
201701,Bromley,Criminal Damage,Criminal Damage To Motor Vehicle,64
201701,Bromley,Criminal Damage,Criminal Damage To Other Building,10
201701,Bromley,Criminal Damage,Other Criminal Damage,46
201701,Bromley,Drugs,Drug Trafficking,6
201701,Bromley,Drugs,Possession Of Drugs,43
201701,Bromley,Fraud & Forgery,Other Fraud & Forgery,9
201701,Bromley,Other Notifiable Offences,Other Notifiable,44
201701,Bromley,Robbery,Business Property,6
201701,Bromley,Robbery,Personal Property,36
201701,Bromley,Sexual Offences,Other Sexual,21
201701,Bromley,Sexual Offences,Rape,15
201701,Bromley,Theft & Handling,Handling Stolen Goods,1
201701,Bromley,Theft & Handling,Motor Vehicle Interference & Tampering,29
201701,Bromley,Theft & Handling,Other Theft,240
201701,Bromley,Theft & Handling,Theft From Motor Vehicle,115
201701,Bromley,Theft & Handling,Theft From Shops,111
201701,Bromley,Theft & Handling,Theft Person,27
201701,Bromley,Theft & Handling,Theft/Taking Of Motor Vehicle,74
201701,Bromley,Theft & Handling,Theft/Taking Of Pedal Cycle,11
201701,Bromley,Violence Against The Person,Assault With Injury,130
201701,Bromley,Violence Against The Person,Common Assault,159
201701,Bromley,Violence Against The Person,Harassment,177
201701,Bromley,Violence Against The Person,Offensive Weapon,10
201701,Bromley,Violence Against The Person,Other Violence,33
201701,Bromley,Violence Against The Person,Wounding/GBH,39
201701,Camden,Burglary,Burglary In A Dwelling,109
201701,Camden,Burglary,Burglary In Other Buildings,139
